2024-02-06 15:48:35 status installed fakeroot:amd64 1.24-1
2024-02-06 15:48:35 configure make:amd64 4.2.1-1.2 <none>
2024-02-06 15:48:35 status unpacked make:amd64 4.2.1-1.2
2024-02-06 15:48:35 status half-configured make:amd64 4.2.1-1.2
2024-02-06 15:48:35 status installed make:amd64 4.2.1-1.2
2024-02-06 15:48:35 configure libquadmath0:amd64 10.5.0-1ubuntu1~20.04 <none>
2024-02-06 15:48:35 status unpacked libquadmath0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status half-configured libquadmath0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status installed libquadmath0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 configure libmpc3:amd64 1.1.0-1 <none>
2024-02-06 15:48:35 status unpacked libmpc3:amd64 1.1.0-1
2024-02-06 15:48:35 status half-configured libmpc3:amd64 1.1.0-1
2024-02-06 15:48:35 status installed libmpc3:amd64 1.1.0-1
2024-02-06 15:48:35 configure libatomic1:amd64 10.5.0-1ubuntu1~20.04 <none>
2024-02-06 15:48:35 status unpacked libatomic1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status half-configured libatomic1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status installed libatomic1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 configure libdpkg-perl:all 1.19.7ubuntu3.2 <none>
2024-02-06 15:48:35 status unpacked libdpkg-perl:all 1.19.7ubuntu3.2
2024-02-06 15:48:35 status half-configured libdpkg-perl:all 1.19.7ubuntu3.2
2024-02-06 15:48:35 status installed libdpkg-perl:all 1.19.7ubuntu3.2
2024-02-06 15:48:35 configure libubsan1:amd64 10.5.0-1ubuntu1~20.04 <none>
2024-02-06 15:48:35 status unpacked libubsan1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status half-configured libubsan1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status installed libubsan1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 configure libcrypt-dev:amd64 1:4.4.10-10ubuntu4 <none>
2024-02-06 15:48:35 status unpacked libcrypt-dev:amd64 1:4.4.10-10ubuntu4
2024-02-06 15:48:35 status half-configured libcrypt-dev:amd64 1:4.4.10-10ubuntu4
2024-02-06 15:48:35 status installed libcrypt-dev:amd64 1:4.4.10-10ubuntu4
2024-02-06 15:48:35 configure libisl22:amd64 0.22.1-1 <none>
2024-02-06 15:48:35 status unpacked libisl22:amd64 0.22.1-1
2024-02-06 15:48:35 status half-configured libisl22:amd64 0.22.1-1
2024-02-06 15:48:35 status installed libisl22:amd64 0.22.1-1
2024-02-06 15:48:35 configure libbinutils:amd64 2.34-6ubuntu1.8 <none>
2024-02-06 15:48:35 status unpacked libbinutils:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 status half-configured libbinutils:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 status installed libbinutils:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 configure libc-dev-bin:amd64 2.31-0ubuntu9.14 <none>
2024-02-06 15:48:35 status unpacked libc-dev-bin:amd64 2.31-0ubuntu9.14
2024-02-06 15:48:35 status half-configured libc-dev-bin:amd64 2.31-0ubuntu9.14
2024-02-06 15:48:35 status installed libc-dev-bin:amd64 2.31-0ubuntu9.14
2024-02-06 15:48:35 configure libalgorithm-diff-xs-perl:amd64 0.04-6 <none>
2024-02-06 15:48:35 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-6
2024-02-06 15:48:35 status half-configured libalgorithm-diff-xs-perl:amd64 0.04-6
2024-02-06 15:48:35 status installed libalgorithm-diff-xs-perl:amd64 0.04-6
2024-02-06 15:48:35 configure libcc1-0:amd64 10.5.0-1ubuntu1~20.04 <none>
2024-02-06 15:48:35 status unpacked libcc1-0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status half-configured libcc1-0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status installed libcc1-0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 configure liblsan0:amd64 10.5.0-1ubuntu1~20.04 <none>
2024-02-06 15:48:35 status unpacked liblsan0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status half-configured liblsan0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status installed liblsan0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 configure dctrl-tools:amd64 2.24-3 <none>
2024-02-06 15:48:35 status unpacked dctrl-tools:amd64 2.24-3
2024-02-06 15:48:35 status half-configured dctrl-tools:amd64 2.24-3
2024-02-06 15:48:35 status installed dctrl-tools:amd64 2.24-3
